,index,class_name
0,1,COMPUTER ARCHITECTURE
1,2,TOPICS IN COMPUTER SCIENCE
2,3,INTRO TO AI
3,4,DATA STRUCTURES AND ALGORITHMS
4,5,ACADEMIC WRITING
5,6,DISCRETE MATH FOR COMPSCI
6,7,INTRO TO COMPUTER SCIENCE
7,8,RESEARCH INDEPENDENT STUDY
8,9,PROBABILITY
9,10,MULTIVARIABLE CALCULUS
10,11,INTRO TO DATABASE SYSTEMS
11,12,DESIGN/ANALY ALGORITHMS
12,13,INTRO TO OPERATING SYSTM
13,14,SOFTWARE DESIGN/IMPLEMEN
