,index,post_class,prob
0,2,1,0.22580645161290322
1,18,1,0.1674641148325359
2,14,1,0.1791907514450867
3,6,1,0.2534246575342466
4,15,1,0.17037037037037037
5,19,1,0.19008264462809918
6,4,1,0.11267605633802817
8,7,1,0.15254237288135594
9,8,1,0.1958762886597938
10,17,1,0.14473684210526316
14,24,1,0.13513513513513514
15,11,1,0.14705882352941177
16,9,1,0.14814814814814814
17,5,1,0.2
19,13,1,0.25
21,10,1,0.125
22,25,1,0.16666666666666666
25,28,1,0.18181818181818182
26,23,1,1.0
28,2,6,0.16532258064516128
29,18,6,0.14354066985645933
30,14,6,0.1329479768786127
32,15,6,0.2222222222222222
33,19,6,0.1487603305785124
35,1,6,0.3333333333333333
36,7,6,0.11864406779661017
37,8,6,0.12371134020618557
38,17,6,0.18421052631578946
41,21,6,0.11904761904761904
42,24,6,0.16216216216216217
44,9,6,0.14814814814814814
45,5,6,0.15
46,26,6,0.3
47,13,6,0.125
48,22,6,0.3076923076923077
49,10,6,0.125
50,25,6,0.25
57,18,2,0.11483253588516747
60,15,2,0.13333333333333333
62,4,2,0.3873239436619718
65,8,2,0.1134020618556701
67,20,2,0.3333333333333333
69,21,2,0.23809523809523808
71,11,2,0.20588235294117646
72,9,2,0.2222222222222222
73,5,2,0.15
76,22,2,0.15384615384615385
77,10,2,0.1875
79,12,2,0.16666666666666666
81,28,2,0.2727272727272727
84,2,14,0.24596774193548387
85,18,14,0.14832535885167464
88,15,14,0.2222222222222222
89,19,14,0.2231404958677686
91,1,14,0.14583333333333334
92,7,14,0.11864406779661017
93,8,14,0.1134020618556701
96,3,14,0.18181818181818182
98,24,14,0.10810810810810811
99,11,14,0.20588235294117646
106,25,14,0.25
120,7,27,0.1016949152542373
129,5,27,0.15
137,28,27,0.18181818181818182
151,20,15,0.14705882352941177
153,21,15,0.14285714285714285
160,22,15,0.15384615384615385
165,28,15,0.18181818181818182
183,11,8,0.2647058823529412
185,5,8,0.15
208,3,17,0.12121212121212122
231,1,13,0.10416666666666667
242,26,13,0.35
248,16,13,0.3333333333333333
254,14,26,0.14450867052023122
271,13,26,0.125
276,16,26,0.3333333333333333
301,10,19,0.1875
353,5,7,0.15
388,16,22,0.3333333333333333
434,24,3,0.16216216216216217
461,21,4,0.21428571428571427
471,12,4,0.16666666666666666
523,13,10,0.125
525,10,10,0.1875
639,12,20,0.3333333333333333
