,index,post_class,prob
0,20,2,0.26677316293929715
2,4,2,0.3267605633802817
3,15,2,0.15737704918032788
4,8,2,0.17553191489361702
5,19,2,0.1348314606741573
8,3,2,0.18518518518518517
9,17,2,0.11494252873563218
10,24,2,0.11023622047244094
13,22,2,0.21518987341772153
17,25,2,0.17391304347826086
18,5,2,0.10526315789473684
19,28,2,0.26785714285714285
24,7,2,0.10526315789473684
28,20,18,0.10702875399361023
29,2,18,0.13165266106442577
30,4,18,0.15211267605633802
32,8,18,0.13297872340425532
33,19,18,0.1853932584269663
37,17,18,0.14942528735632185
40,21,18,0.14814814814814814
45,25,18,0.2028985507246377
47,28,18,0.14285714285714285
57,2,14,0.2184873949579832
59,15,14,0.14426229508196722
60,8,14,0.10106382978723404
61,19,14,0.20786516853932585
62,1,14,0.17525773195876287
64,3,14,0.14814814814814814
66,24,14,0.11811023622047244
80,7,14,0.15789473684210525
85,2,6,0.13165266106442577
87,15,6,0.14426229508196722
88,8,6,0.11170212765957446
90,1,6,0.26804123711340205
91,14,6,0.2079207920792079
99,27,6,0.20454545454545456
102,5,6,0.10526315789473684
105,16,6,0.16666666666666666
106,26,6,0.125
107,11,6,0.35294117647058826
109,13,6,0.45454545454545453
112,20,15,0.10862619808306709
114,4,15,0.1295774647887324
120,3,15,0.12037037037037036
124,21,15,0.10185185185185185
125,22,15,0.12658227848101267
128,9,15,0.14285714285714285
129,25,15,0.10144927536231885
142,4,19,0.11549295774647887
149,17,19,0.11494252873563218
158,5,19,0.10526315789473684
159,28,19,0.17857142857142858
168,20,4,0.12619808306709265
177,17,4,0.10344827586206896
180,21,4,0.4722222222222222
182,12,4,0.10666666666666667
184,9,4,0.16071428571428573
192,7,4,0.10526315789473684
197,2,1,0.1092436974789916
203,14,1,0.1188118811881188
211,27,1,0.13636363636363635
220,7,1,0.10526315789473684
235,6,7,0.17073170731707318
239,27,7,0.11363636363636363
246,26,7,0.125
248,7,7,0.15789473684210525
259,14,8,0.10891089108910891
273,16,8,0.3333333333333333
274,26,8,0.125
302,26,17,0.25
304,7,17,0.15789473684210525
306,23,17,0.5
322,12,20,0.49333333333333335
326,5,20,0.10526315789473684
327,28,20,0.10714285714285714
346,24,3,0.12598425196850394
446,23,11,0.5
499,11,5,0.17647058823529413
511,14,26,0.1188118811881188
525,16,26,0.16666666666666666
554,26,13,0.25
555,11,13,0.11764705882352941
581,16,22,0.16666666666666666
608,10,10,0.1891891891891892
609,16,10,0.16666666666666666
694,26,16,0.125
