,index,post_class,prob
0,24,21,0.21137206427688504
2,11,21,0.21671018276762402
3,4,21,0.13553113553113552
4,22,21,0.2191780821917808
6,25,21,0.2
7,13,21,0.4088888888888889
8,16,21,0.18181818181818182
10,29,21,0.17763157894736842
11,8,21,0.10309278350515463
12,3,21,0.20192307692307693
13,20,21,0.13333333333333333
15,26,21,0.17142857142857143
17,23,21,0.23958333333333334
19,9,21,0.21686746987951808
23,10,21,0.19047619047619047
28,24,2,0.11742892459826947
29,21,2,0.24688796680497926
30,11,2,0.10704960835509138
31,4,2,0.27106227106227104
34,25,2,0.1148936170212766
36,16,2,0.11363636363636363
38,29,2,0.20394736842105263
39,8,2,0.1134020618556701
40,3,2,0.10576923076923077
41,20,2,0.14444444444444443
43,26,2,0.14285714285714285
54,19,2,0.2
57,21,4,0.11618257261410789
58,11,4,0.10182767624020887
60,22,4,0.2705479452054795
68,3,4,0.125
71,26,4,0.1523809523809524
73,23,4,0.10416666666666667
75,9,4,0.1566265060240964
76,5,4,0.15789473684210525
77,18,4,0.15789473684210525
84,24,16,0.10630407911001236
85,21,16,0.12448132780082988
86,11,16,0.11488250652741515
87,4,16,0.18315018315018314
94,29,16,0.14473684210526316
99,26,16,0.13333333333333333
101,23,16,0.10416666666666667
103,9,16,0.12048192771084337
120,16,8,0.10795454545454546
125,20,8,0.15555555555555556
126,1,8,0.13114754098360656
128,15,8,0.1323529411764706
136,14,8,0.13333333333333333
137,17,8,0.1111111111111111
138,19,8,0.2
150,29,20,0.13157894736842105
152,3,20,0.11538461538461539
161,18,20,0.15789473684210525
173,2,1,0.1978021978021978
177,6,1,0.1917808219178082
179,8,1,0.15463917525773196
189,18,1,0.10526315789473684
193,17,1,0.2222222222222222
201,2,15,0.18681318681318682
204,16,15,0.11363636363636363
209,20,15,0.14444444444444443
210,1,15,0.2459016393442623
221,17,15,0.1111111111111111
230,25,3,0.11063829787234042
276,14,18,0.13333333333333333
305,17,25,0.1111111111111111
306,19,25,0.2
322,1,6,0.18032786885245902
324,15,6,0.1323529411764706
326,7,6,0.125
329,18,6,0.10526315789473684
330,27,6,0.2777777777777778
332,14,6,0.3333333333333333
391,12,23,1.0
442,27,28,0.1111111111111111
445,17,28,0.2222222222222222
529,17,5,0.2222222222222222
582,27,10,0.1111111111111111
583,10,10,0.23809523809523808
610,27,17,0.1111111111111111
625,6,27,0.1643835616438356
632,15,27,0.16176470588235295
637,18,27,0.10526315789473684
640,14,27,0.13333333333333333
666,27,12,0.16666666666666666
