,index,post_class,prob
0,1,7,0.19318181818181818
1,16,7,0.15384615384615385
2,6,7,0.11940298507462686
3,23,7,0.125
4,13,7,0.10526315789473684
7,14,7,0.125
9,7,7,0.3684210526315789
10,12,7,0.17647058823529413
11,17,7,0.17647058823529413
15,9,7,0.125
21,4,7,0.125
27,6,1,0.34328358208955223
29,13,1,0.13157894736842105
30,24,1,0.20833333333333334
31,2,1,0.28205128205128205
32,14,1,0.1875
33,10,1,0.16129032258064516
34,7,1,0.10526315789473684
36,17,1,0.11764705882352941
37,8,1,0.42857142857142855
38,20,1,0.2
39,21,1,0.5
40,9,1,0.125
42,5,1,0.5
46,4,1,0.125
47,19,1,0.5
50,1,13,0.22727272727272727
53,23,13,0.2916666666666667
55,24,13,0.25
56,2,13,0.1282051282051282
57,14,13,0.1875
58,10,13,0.12903225806451613
60,12,13,0.35294117647058826
62,8,13,0.14285714285714285
63,20,13,0.4
65,9,13,0.125
76,16,10,0.23076923076923078
83,10,10,0.41935483870967744
87,8,10,0.14285714285714285
90,9,10,0.125
94,22,10,1.0
100,1,6,0.10227272727272728
106,2,6,0.1282051282051282
109,7,6,0.10526315789473684
110,12,6,0.11764705882352941
112,8,6,0.14285714285714285
115,9,6,0.375
116,15,6,0.5833333333333334
120,18,6,0.3333333333333333
121,4,6,0.25
123,11,6,0.3333333333333333
124,25,6,0.5
125,1,12,0.11363636363636363
127,6,12,0.1044776119402985
129,13,12,0.2631578947368421
132,14,12,0.125
134,7,12,0.10526315789473684
138,20,12,0.2
139,21,12,0.5
140,9,12,0.125
151,16,5,0.19230769230769232
153,23,5,0.125
168,3,5,0.5
181,2,14,0.1282051282051282
195,18,14,0.3333333333333333
196,4,14,0.125
204,13,23,0.10526315789473684
211,17,23,0.11764705882352941
217,5,23,0.5
236,17,9,0.11764705882352941
246,4,9,0.125
248,11,9,0.3333333333333333
262,8,2,0.14285714285714285
271,4,2,0.125
272,19,2,0.5
286,17,8,0.11764705882352941
296,4,8,0.125
301,16,3,0.11538461538461539
318,3,3,0.5
330,24,17,0.125
363,20,21,0.2
445,18,20,0.3333333333333333
499,25,25,0.5
523,11,19,0.3333333333333333
