,index,post_class,prob
1661,270,443,0.1
1662,729,443,0.1
1688,883,443,0.1
1699,309,443,0.1
1713,914,443,0.1
1726,19,443,0.1
1742,797,443,0.1
1749,93,443,0.1
1750,677,443,0.1
1765,667,443,0.1
1769,869,443,0.1
1777,480,443,0.1
1780,484,443,0.1
1782,354,443,0.1
1785,782,443,0.1
1802,599,443,0.1
1809,450,443,0.1
1814,775,443,0.1
1815,887,443,0.1
1818,838,443,0.1
1819,764,443,0.1
1825,348,443,0.1
1827,374,443,0.1
1839,730,443,0.1
1862,493,443,0.1
1885,59,443,0.1
1906,110,443,0.1
1913,481,443,0.1
1965,642,443,0.1
1967,285,443,0.1
1968,394,443,0.1
1973,791,443,0.1
1987,890,443,0.1
1990,435,443,0.1
1993,223,443,0.1
2001,449,443,0.1
2023,225,443,0.1
2028,863,443,0.1
2044,694,443,0.1
2082,181,443,0.1
2090,626,443,0.1
2100,861,443,1.0
2272,184,318,0.1
2279,191,318,0.1
2292,572,318,0.1
2296,530,318,0.1
2311,345,318,0.1
2331,537,318,0.1
2355,135,318,0.1
2364,188,318,0.1
2394,683,318,0.1
2453,367,318,0.1
2457,584,318,0.1
2464,301,318,0.1
2472,641,318,0.1
2475,152,318,0.1
2477,875,318,0.1
2478,667,318,0.1
2482,869,318,0.1
2483,868,318,0.1
2493,484,318,0.1
2499,375,318,0.1
2500,251,318,0.1
2508,586,318,0.1
2515,599,318,0.1
2518,615,318,0.1
2533,245,318,0.1
2542,697,318,0.1
2548,427,318,0.1
2551,448,318,0.1
2567,468,318,0.1
2589,817,318,1.0
2594,49,318,0.1
2597,438,318,0.1
2605,527,318,1.0
2627,485,318,1.0
2631,228,318,0.1
2632,514,318,1.0
2633,847,318,0.1
2636,558,318,0.1
2653,289,318,0.1
2691,250,318,0.1
2716,146,318,0.1
2730,355,318,1.0
2758,189,318,0.1
2763,663,318,0.1
2785,736,318,0.1
2794,708,318,0.1
2814,721,318,0.1
2837,229,318,0.1
2851,460,318,0.1
2857,359,184,0.1
2962,854,184,0.1
2988,4,184,0.1
3010,540,184,0.1
3012,332,184,0.1
3031,666,184,0.1
3054,149,184,0.1
3060,439,184,0.1
3073,519,184,0.1
3148,24,184,0.1
3175,93,184,0.1
3180,625,184,0.1
3189,578,184,0.1
3191,667,184,0.1
3199,220,184,0.1
3201,653,184,0.1
3213,251,184,0.1
3217,321,184,0.1
3220,312,184,0.1
3222,756,184,0.1
3230,532,184,0.1
3235,450,184,0.1
3266,74,184,0.1
3267,39,184,0.1
3337,317,184,0.1
3358,130,184,0.1
3364,678,184,0.1
3385,40,184,0.1
3393,285,184,0.1
3394,394,184,0.1
3401,158,184,0.1
3405,676,184,0.1
3414,415,184,0.1
3416,435,184,0.1
3422,796,184,0.1
3447,771,184,0.1
3448,859,184,0.1
3455,555,184,0.1
3457,395,184,0.1
3479,108,184,0.1
3481,668,184,0.1
3504,161,184,0.1
3519,470,184,0.1
3531,749,184,0.1
3532,322,184,0.1
3540,147,184,0.1
3574,318,737,0.1
3628,487,737,0.1
3655,51,737,0.1
3673,712,737,0.1
3692,113,737,0.1
3703,661,737,0.1
3715,60,737,0.1
3740,842,737,0.1
3746,550,737,0.1
3755,507,737,0.1
3760,534,737,0.1
3860,15,737,0.1
3870,456,737,0.1
3879,367,737,0.1
3880,852,737,0.1
3886,684,737,0.1
3889,677,737,0.1
3895,371,737,0.1
3898,641,737,0.1
3899,90,737,0.1
3910,579,737,0.1
3917,171,737,0.1
3939,607,737,0.1
3946,778,737,0.1
3950,139,737,0.1
3968,697,737,0.1
3983,811,737,0.1
3986,406,737,0.1
3999,862,737,0.1
4004,587,737,0.1
4016,505,737,0.1
4051,138,737,0.1
4065,91,737,0.1
4105,743,737,0.1
4109,88,737,0.1
4146,451,737,0.1
4150,384,737,1.0
4151,363,737,0.1
4165,67,737,0.1
4173,772,737,0.1
4193,644,737,0.1
4207,612,737,1.0
4223,261,737,0.1
4224,635,737,0.1
4237,734,737,0.1
4251,812,737,0.1
4259,689,737,0.1
4262,693,737,0.1
4274,779,737,0.1
4339,725,269,0.1
4438,332,269,0.1
4506,183,269,0.1
4565,914,269,0.1
4606,625,269,0.1
4617,667,269,0.1
4631,385,269,0.1
4635,18,269,0.1
4657,615,269,0.1
4661,450,269,0.1
4677,348,269,0.1
4685,323,269,0.1
4687,427,269,0.1
4723,543,269,1.0
4748,524,269,0.1
4755,11,269,0.1
4763,317,269,0.1
4772,847,269,0.1
4831,676,269,0.1
4862,362,269,0.1
4898,190,269,0.1
4904,195,269,0.1
4927,231,269,0.1
4966,147,269,0.1
4990,460,269,0.1
5112,143,358,0.1
5118,113,358,0.1
5141,60,358,0.1
5166,842,358,0.1
5181,507,358,0.1
5201,740,358,0.1
5240,187,358,0.1
5255,239,358,0.1
5262,366,358,0.1
5313,218,358,0.1
5315,677,358,0.1
5321,371,358,0.1
5329,875,358,0.1
5335,868,358,0.1
5337,722,358,0.1
5343,171,358,0.1
5349,273,358,0.1
5351,375,358,0.1
5365,607,358,0.1
5367,599,358,0.1
5372,778,358,0.1
5376,139,358,0.1
5385,245,358,0.1
5398,323,358,0.1
5404,730,358,0.1
5420,832,358,0.1
5422,1,358,1.0
5423,581,358,0.1
5424,400,358,0.1
5435,472,358,0.1
5440,111,358,0.1
5494,815,358,0.1
5499,497,358,1.0
5513,827,358,1.0
5520,637,358,0.1
5526,833,358,1.0
5577,363,358,0.1
5586,771,358,0.1
5594,555,358,0.1
5620,668,358,0.1
5649,261,358,0.1
5664,240,358,0.1
5669,283,358,0.1
5697,705,358,0.1
5700,779,358,0.1
5813,96,404,0.1
5824,288,404,0.1
5883,666,404,0.1
5886,424,404,0.1
5906,149,404,0.1
5922,503,404,0.1
5945,209,404,0.1
5947,164,404,0.1
5953,187,404,0.1
6011,763,404,0.1
6018,367,404,0.1
6020,797,404,0.1
6022,584,404,0.1
6040,152,404,0.1
6055,480,404,0.1
6063,782,404,0.1
6068,504,404,0.1
6082,532,404,0.1
6087,450,404,0.1
6090,311,404,0.1
6093,887,404,0.1
6096,838,404,0.1
6102,284,404,0.1
6106,544,404,0.1
6116,448,404,0.1
6129,8,404,0.1
6149,543,404,1.0
6172,77,404,0.1
6217,652,404,0.1
6224,57,404,1.0
6235,803,404,0.1
6243,642,404,0.1
6245,285,404,0.1
6270,419,404,0.1
6279,449,404,0.1
6292,95,404,1.0
6301,225,404,0.1
6372,421,404,0.1
6373,727,404,0.1
6377,240,404,0.1
6378,861,404,1.0
6385,754,404,0.1
6482,29,732,0.1
6545,44,732,0.1
6584,389,732,0.1
6587,89,732,0.1
6591,489,732,0.1
6594,63,732,0.1
6626,594,732,0.1
6630,465,732,0.1
6639,346,732,0.1
6649,483,732,0.1
6661,623,732,0.1
6670,69,732,0.1
6673,222,732,0.1
6678,899,732,0.1
6696,380,732,0.1
6701,281,732,0.1
6716,922,732,0.1
6723,357,732,0.1
6731,367,732,0.1
6736,680,732,0.1
6738,684,732,0.1
6749,640,732,0.1
6755,875,732,0.1
6765,407,732,0.1
6772,6,732,0.1
6782,321,732,0.1
6784,320,732,0.1
6797,276,732,0.1
6808,271,732,0.1
6810,764,732,0.1
6812,68,732,0.1
6836,538,732,0.1
6847,2,732,0.1
6859,591,732,1.0
6865,37,732,0.1
6870,506,732,0.1
6893,548,732,1.0
6895,473,732,0.1
