,index,post_class,prob
0,13,14,0.3518987341772152
1,4,14,0.34502923976608185
2,11,14,0.23684210526315788
3,2,14,0.3135593220338983
4,22,14,0.22692307692307692
10,16,14,0.2254335260115607
13,3,14,0.31521739130434784
14,23,14,0.25252525252525254
15,1,14,0.25
18,8,14,0.14285714285714285
19,21,14,0.14285714285714285
20,20,14,0.16666666666666666
21,24,14,0.5
23,10,14,0.25
24,13,3,0.2379746835443038
25,4,3,0.18518518518518517
26,11,3,0.21428571428571427
27,2,3,0.22033898305084745
28,22,3,0.2846153846153846
31,14,3,0.2753623188405797
34,16,3,0.23121387283236994
38,23,3,0.23232323232323232
39,1,3,0.203125
41,6,3,0.17391304347826086
42,8,3,0.14285714285714285
43,21,3,0.14285714285714285
47,10,3,0.25
49,4,13,0.17153996101364521
50,11,13,0.23308270676691728
51,2,13,0.2033898305084746
52,22,13,0.18846153846153846
55,14,13,0.2971014492753623
58,16,13,0.15606936416184972
61,3,13,0.15217391304347827
62,23,13,0.21212121212121213
63,1,13,0.125
65,6,13,0.2608695652173913
66,8,13,0.14285714285714285
67,21,13,0.2857142857142857
68,20,13,0.3333333333333333
71,10,13,0.25
77,18,9,0.4
78,9,9,0.546875
80,15,9,0.3020833333333333
81,17,9,0.3026315789473684
83,19,9,0.5
84,7,9,0.31343283582089554
87,1,9,0.109375
90,8,9,0.14285714285714285
92,20,9,0.16666666666666666
96,13,18,0.11392405063291139
104,15,18,0.15625
108,7,18,0.13432835820895522
109,3,18,0.32608695652173914
111,1,18,0.109375
114,8,18,0.14285714285714285
125,18,1,0.13043478260869565
126,9,1,0.109375
127,14,1,0.14492753623188406
128,15,1,0.13541666666666666
129,17,1,0.13157894736842105
132,7,1,0.13432835820895522
134,23,1,0.1414141414141414
138,8,1,0.14285714285714285
154,16,2,0.2543352601156069
161,6,2,0.13043478260869565
163,21,2,0.21428571428571427
173,18,8,0.19130434782608696
174,9,8,0.109375
176,15,8,0.21875
177,17,8,0.23684210526315788
180,7,8,0.2835820895522388
209,6,11,0.21739130434782608
210,8,11,0.14285714285714285
211,21,11,0.14285714285714285
221,18,12,0.1565217391304348
222,9,12,0.140625
224,15,12,0.10416666666666667
225,17,12,0.18421052631578946
227,19,12,0.5
260,20,4,0.16666666666666666
284,20,5,0.16666666666666666
333,24,6,0.5
407,10,24,0.25
