,index,class_name
0,1,INTERMEDIATE MACROECONOMICS
1,2,INTERMEDIATE MICROECONOMICS II
2,3,DATA STRUCTURES AND ALGORITHMS
3,4,MULTIVAR CALCULUS FOR ECON
4,5,SPECIAL TOPICS
5,6,INTRODUCTION TO ECONOMETRICS
6,7,SELECTED TOPICS IN ECONOMICS
7,8,FINANCIAL ACCOUNTING
8,9,INTERMEDIATE SPANISH
9,10,RESEARCH INDEPENDENT STUDY
10,11,FIRST-YEAR SEMINAR (TOP)
11,12,FINANCIAL INSTITUTIONS
12,13,ECONOMIC PRINCIPLES
13,14,FINANCIAL MRKT AND INVESTMENTS
14,15,INTERMEDIATE FINANCE
15,16,PROBABILITY/STAT INFER
16,17,HONORS SEMINAR I
17,18,PRISONER'S DILEMMA/DISTR JUSTI
18,19,PRACTICAL FINANCIAL MARKETS
19,20,PROBABILITY
20,21,INTERMEDIATE MICROECONOMICS I
21,22,LABORATORY CALCULUS II
22,23,THE DYNAMIC EARTH
23,24,ACADEMIC WRITING
24,25,INTRO TO COMPUTER SCIENCE
25,26,INTRODUCTORY PSYCHOLOGY
26,27,CORPORATE FINANCE
27,28,ECON OF ENTREPRENEURSHIP
28,29,MULTIVARIABLE CALCULUS
