,index,class_name
0,1,INTRO BIOCHEMISTRY I
1,2,SIGNALS AND SYSTEMS
2,3,MECHANICS OF SOLIDS
3,4,"INTRO ELECTRIC, MAGNET, OPTICS"
4,5,SPECIAL TOPICS
5,6,PROJECTS IN BIOMED ENG
6,7,QUANT PHYSIOLOGY BIOSTAT APPL
7,8,DESIGN DEVELOPING WORLD
8,9,MODELS CELL AND MOL SYSTEMS
9,10,TRNSPRT PHENOM:BIOLOGCL SYSTMS
10,11,MOD DIAG IMAGING SYSTEMS
11,12,INTRO MEDICAL INSTRUMENTATION
12,13,INTRODUCTORY MECHANICS
13,14,STRUC/PROP OF SOLIDS
