,index,post_class,prob
0,6,1,0.35795454545454547
1,14,1,0.225531914893617
3,7,1,0.22807017543859648
4,2,1,0.22105263157894736
5,26,1,0.125
6,17,1,0.2653061224489796
7,8,1,0.12244897959183673
8,11,1,0.13333333333333333
9,10,1,0.17142857142857143
10,13,1,0.25
12,19,1,0.10714285714285714
13,5,1,0.23529411764705882
14,9,1,0.2
15,24,1,0.19047619047619047
17,27,1,0.2857142857142857
18,4,1,0.16666666666666666
19,25,1,0.2222222222222222
20,22,1,0.2857142857142857
21,18,1,0.6666666666666666
22,21,1,0.25
27,6,16,0.13920454545454544
28,14,16,0.1276595744680851
29,1,16,0.2
30,7,16,0.15789473684210525
32,26,16,0.225
34,8,16,0.22448979591836735
35,11,16,0.13333333333333333
36,10,16,0.22857142857142856
37,13,16,0.2
39,19,16,0.25
40,5,16,0.17647058823529413
41,9,16,0.15
42,24,16,0.14285714285714285
43,3,16,0.19047619047619047
44,27,16,0.21428571428571427
46,25,16,0.1111111111111111
56,1,6,0.1523809523809524
58,2,6,0.15789473684210525
59,26,6,0.175
60,17,6,0.1836734693877551
65,15,6,0.4166666666666667
66,19,6,0.35714285714285715
67,5,6,0.11764705882352941
70,3,6,0.14285714285714285
72,4,6,0.25
74,22,6,0.14285714285714285
76,21,6,0.125
79,12,6,0.25
82,14,26,0.14042553191489363
83,1,26,0.10476190476190476
84,7,26,0.10526315789473684
88,8,26,0.12244897959183673
89,11,26,0.16666666666666666
91,13,26,0.15
97,3,26,0.14285714285714285
101,22,26,0.14285714285714285
124,3,13,0.14285714285714285
125,27,13,0.14285714285714285
134,23,13,0.5
146,15,27,0.10416666666666667
149,9,27,0.15
165,7,2,0.10526315789473684
170,11,2,0.16666666666666666
175,5,2,0.11764705882352941
180,4,2,0.3333333333333333
181,25,2,0.3333333333333333
184,21,2,0.375
186,20,2,0.3333333333333333
193,2,14,0.15789473684210525
195,17,14,0.10204081632653061
200,15,14,0.14583333333333334
201,19,14,0.10714285714285714
208,25,14,0.1111111111111111
210,18,14,0.16666666666666666
211,21,14,0.125
214,12,14,0.25
215,23,14,0.5
219,7,10,0.10526315789473684
225,10,10,0.3142857142857143
256,5,7,0.11764705882352941
262,25,7,0.1111111111111111
263,22,7,0.2857142857142857
266,16,7,1.0
271,14,11,0.10212765957446808
277,8,11,0.12244897959183673
291,18,11,0.16666666666666666
316,25,17,0.1111111111111111
321,20,17,0.3333333333333333
349,12,8,0.25
533,22,25,0.14285714285714285
589,21,4,0.125
591,20,4,0.3333333333333333
619,12,20,0.25
