,index,post_class,prob
0,16,8,0.2116564417177914
1,13,8,0.2673392181588903
2,10,8,0.23846153846153847
3,12,8,0.2422062350119904
4,18,8,0.24119241192411925
6,3,8,0.18
8,15,8,0.15343915343915343
12,9,8,0.16049382716049382
15,25,8,0.10526315789473684
18,21,8,0.18181818181818182
22,16,18,0.2116564417177914
23,13,18,0.23076923076923078
24,10,18,0.27115384615384613
25,12,18,0.19184652278177458
28,3,18,0.192
30,15,18,0.21693121693121692
34,9,18,0.19753086419753085
35,19,18,0.12
39,14,18,0.2222222222222222
40,21,18,0.36363636363636365
41,24,18,0.3333333333333333
42,1,18,0.3333333333333333
43,5,18,0.5
44,16,13,0.10736196319018405
46,10,13,0.11153846153846154
47,12,13,0.1486810551558753
48,18,13,0.14905149051490515
52,15,13,0.20634920634920634
57,19,13,0.17333333333333334
61,14,13,0.2222222222222222
65,5,13,0.5
66,16,12,0.10940695296523517
67,13,12,0.11853720050441362
68,10,12,0.12692307692307692
70,18,12,0.10569105691056911
72,3,12,0.3
88,16,10,0.10531697341513292
89,13,10,0.11349306431273644
92,18,10,0.15989159891598917
94,3,10,0.132
96,15,10,0.13756613756613756
105,14,10,0.2962962962962963
106,21,10,0.18181818181818182
107,24,10,0.3333333333333333
108,1,10,0.3333333333333333
115,20,11,0.13427561837455831
117,7,11,0.13392857142857142
119,8,11,0.13725490196078433
120,11,11,0.4576271186440678
121,23,11,0.3137254901960784
124,6,11,0.2571428571428571
125,25,11,0.21052631578947367
126,4,11,0.3684210526315789
137,20,6,0.2968197879858657
139,7,6,0.2767857142857143
141,8,6,0.29411764705882354
142,11,6,0.11864406779661017
143,23,6,0.13725490196078433
158,18,7,0.2032520325203252
181,20,17,0.21554770318021202
183,7,17,0.20535714285714285
185,8,17,0.19607843137254902
203,20,22,0.18021201413427562
205,7,22,0.16964285714285715
207,8,22,0.20098039215686275
209,23,22,0.13725490196078433
232,9,3,0.2777777777777778
237,14,3,0.1111111111111111
252,11,4,0.13559322033898305
256,6,4,0.2857142857142857
257,25,4,0.47368421052631576
258,4,4,0.2631578947368421
269,20,2,0.13427561837455831
271,7,2,0.125
273,8,2,0.13725490196078433
321,19,19,0.13333333333333333
366,6,25,0.2
368,4,25,0.21052631578947367
393,24,15,0.3333333333333333
394,1,15,0.3333333333333333
