,index,post_class,prob
0,13,8,0.37168141592920356
1,12,8,0.3559322033898305
2,8,8,0.54337899543379
3,6,8,0.35
4,11,8,0.34536082474226804
5,7,8,0.17391304347826086
6,15,8,0.3548387096774194
7,9,8,0.5
8,10,8,0.23529411764705882
9,1,8,0.6363636363636364
10,2,8,0.3157894736842105
14,14,8,0.5
15,3,8,0.5
16,13,7,0.3392330383480826
17,12,7,0.31186440677966104
18,8,7,0.1872146118721461
19,6,7,0.35909090909090907
20,11,7,0.26804123711340205
21,7,7,0.4782608695652174
22,15,7,0.2903225806451613
23,9,7,0.5
24,10,7,0.23529411764705882
26,2,7,0.15789473684210525
27,4,7,0.3333333333333333
29,5,7,0.5
32,13,9,0.19469026548672566
33,12,9,0.18983050847457628
34,8,9,0.1278538812785388
35,6,9,0.16818181818181818
36,11,9,0.17010309278350516
37,7,9,0.17391304347826086
41,1,9,0.18181818181818182
52,11,13,0.12886597938144329
54,15,13,0.16129032258064516
56,10,13,0.4117647058823529
58,2,13,0.42105263157894735
59,4,13,0.3333333333333333
61,5,13,0.5
63,3,13,0.5
75,4,15,0.3333333333333333
126,14,2,0.5
