,index,post_class,prob
514,177,616,0.125
516,193,616,0.3333333333333333
518,785,616,0.18181818181818182
520,252,616,0.1111111111111111
526,848,616,0.125
530,703,616,0.125
532,275,616,0.13333333333333333
540,237,616,0.125
541,462,616,0.125
543,803,616,0.16666666666666666
547,155,616,0.125
549,471,616,0.11764705882352941
556,1034,616,0.1111111111111111
568,46,616,0.125
569,635,616,0.14285714285714285
573,64,616,0.14285714285714285
575,648,616,0.14285714285714285
582,1122,616,0.16666666666666666
583,581,616,0.11764705882352941
585,508,616,0.125
589,11,616,0.125
594,143,616,0.14285714285714285
596,1141,616,0.10526315789473684
597,24,616,0.11764705882352941
600,29,616,0.1111111111111111
606,212,616,0.125
607,725,616,0.15384615384615385
610,127,616,0.14285714285714285
618,142,616,0.11764705882352941
625,504,616,0.14285714285714285
627,534,616,0.13333333333333333
628,535,616,0.11764705882352941
629,536,616,0.18181818181818182
631,86,616,0.1111111111111111
640,1110,616,0.1111111111111111
641,690,616,0.15384615384615385
649,862,616,0.125
653,310,616,0.25
654,394,616,0.13333333333333333
655,715,616,0.18181818181818182
663,235,616,0.2
668,357,616,0.125
671,734,616,0.16666666666666666
672,928,616,0.1111111111111111
673,1005,616,0.1111111111111111
675,1002,616,0.13333333333333333
681,990,616,0.1111111111111111
686,891,616,0.1111111111111111
691,342,616,0.25
692,400,616,0.25
693,421,616,0.125
695,314,616,0.1111111111111111
697,933,616,0.1111111111111111
701,950,616,0.2
703,374,616,0.15384615384615385
706,373,616,0.14285714285714285
711,688,616,0.16666666666666666
712,10,616,0.125
713,99,616,0.125
716,775,616,0.125
722,338,616,0.16666666666666666
729,831,616,0.125
732,541,616,0.125
734,1115,616,0.1111111111111111
736,599,616,0.125
739,13,616,0.1111111111111111
740,588,616,0.14285714285714285
743,726,616,0.2
746,558,616,0.2
747,678,616,0.14285714285714285
750,787,616,0.125
751,685,616,0.125
752,557,616,0.14285714285714285
753,368,616,0.14285714285714285
756,92,616,0.16666666666666666
759,1050,616,0.14285714285714285
760,1113,616,0.1111111111111111
767,1125,616,0.2
781,1087,616,0.125
782,1086,616,0.25
784,718,616,0.25
786,3,616,0.125
787,1085,616,0.125
788,987,616,0.1111111111111111
791,705,616,0.125
794,539,616,0.125
795,249,616,0.125
797,1114,616,0.16666666666666666
800,762,616,0.125
802,6,616,0.14285714285714285
804,370,616,0.125
811,118,616,0.25
815,755,616,0.16666666666666666
816,331,616,0.16666666666666666
819,41,616,0.1111111111111111
822,617,616,0.16666666666666666
823,948,616,0.16666666666666666
