,index,post_class,prob
1,24,17,0.2664576802507837
2,3,17,0.2488095238095238
3,4,17,0.23606168446026096
4,10,17,0.24926686217008798
7,18,17,0.17701863354037267
8,9,17,0.24600638977635783
17,19,17,0.17708333333333334
18,15,17,0.22772277227722773
20,21,17,0.25
21,1,17,0.2727272727272727
22,23,17,0.2
25,24,13,0.19853709508881923
26,3,13,0.20952380952380953
27,4,13,0.20759193357058126
28,10,13,0.22287390029325513
31,18,13,0.14285714285714285
32,9,13,0.2364217252396166
41,19,13,0.20833333333333334
42,15,13,0.18811881188118812
46,23,13,0.2
48,14,10,0.28885135135135137
49,24,10,0.16927899686520376
50,3,10,0.14761904761904762
51,4,10,0.1257413997627521
55,18,10,0.10248447204968944
56,9,10,0.12779552715654952
66,15,10,0.1782178217821782
68,21,10,0.25
69,1,10,0.18181818181818182
70,23,10,0.2
72,14,12,0.20777027027027026
74,3,12,0.11428571428571428
75,4,12,0.21352313167259787
76,10,12,0.1348973607038123
79,18,12,0.13664596273291926
89,19,12,0.16666666666666666
96,14,19,0.19425675675675674
98,3,19,0.10119047619047619
99,4,19,0.10320284697508897
100,10,19,0.11436950146627566
116,21,19,0.25
118,23,19,0.2
131,12,20,0.26229508196721313
134,8,20,0.3333333333333333
135,13,20,0.2882882882882883
136,7,20,0.3220338983050847
144,14,4,0.125
152,9,4,0.2108626198083067
166,23,4,0.2
179,12,7,0.2459016393442623
182,8,7,0.3
183,13,7,0.23423423423423423
185,19,7,0.13541666666666666
199,18,14,0.11490683229813664
213,1,14,0.18181818181818182
222,5,8,0.1111111111111111
227,12,8,0.19672131147540983
231,13,8,0.24324324324324326
232,7,8,0.2711864406779661
245,11,11,0.5753424657534246
249,6,11,0.43157894736842106
250,16,11,0.421875
252,22,11,0.3448275862068966
253,2,11,0.5128205128205128
263,20,11,0.5
269,11,23,0.2054794520547945
270,5,23,0.3333333333333333
273,6,23,0.23157894736842105
274,16,23,0.265625
276,22,23,0.1724137931034483
277,2,23,0.15384615384615385
278,8,23,0.13333333333333333
308,21,9,0.25
309,1,9,0.18181818181818182
342,5,6,0.1111111111111111
346,16,6,0.109375
348,22,6,0.13793103448275862
349,2,6,0.10256410256410256
359,20,6,0.5
366,5,25,0.2222222222222222
369,6,25,0.16842105263157894
370,16,25,0.125
372,22,25,0.13793103448275862
373,2,25,0.15384615384615385
390,5,5,0.2222222222222222
396,22,5,0.13793103448275862
