,index,post_class,prob
0,17,16,0.29066265060240964
1,2,16,0.3225806451612903
2,12,16,0.3057471264367816
3,8,16,0.18137254901960784
5,1,16,0.25
6,3,16,0.3
7,7,16,0.16666666666666666
8,10,16,0.13636363636363635
10,4,16,0.1935483870967742
11,5,16,0.21875
12,18,16,0.3
13,6,16,0.3333333333333333
17,17,15,0.24548192771084337
18,2,15,0.21631878557874762
19,12,15,0.24367816091954023
20,8,15,0.12745098039215685
21,16,15,0.2375
22,1,15,0.22549019607843138
23,3,15,0.20625
25,10,15,0.18181818181818182
27,4,15,0.16129032258064516
28,5,15,0.15625
29,18,15,0.2
30,6,15,0.3333333333333333
33,19,15,0.25
34,17,8,0.1280120481927711
35,2,8,0.1157495256166983
36,12,8,0.10804597701149425
37,8,8,0.38235294117647056
38,16,8,0.2375
39,1,8,0.18137254901960784
40,3,8,0.1125
41,7,8,0.26666666666666666
42,10,8,0.13636363636363635
43,11,8,0.375
45,5,8,0.21875
46,18,8,0.2
51,17,9,0.15512048192771086
52,2,9,0.15749525616698293
53,12,9,0.1310344827586207
54,8,9,0.1323529411764706
55,16,9,0.16875
56,1,9,0.14705882352941177
57,3,9,0.15625
63,18,9,0.2
64,6,9,0.3333333333333333
67,19,9,0.25
68,17,14,0.14457831325301204
69,2,14,0.14800759013282733
70,12,14,0.14942528735632185
72,16,14,0.2
73,1,14,0.11764705882352941
74,3,14,0.1625
76,10,14,0.20454545454545456
78,4,14,0.16129032258064516
79,5,14,0.1875
83,13,14,0.25
92,7,7,0.16666666666666666
94,11,7,0.625
101,19,7,0.25
112,4,17,0.22580645161290322
117,13,17,0.25
185,13,2,0.25
237,19,6,0.25
270,13,3,0.25
